HCPCS Code,Short Description,HCPCS Code Dosage,Payment Limit,Co-insurance Percentage,Vaccine AWP%,Vaccine Limit,Blood AWP%,Blood limit,Clotting Factor,Notes,dosage_value,dosage_unit
J2760,Phentolaine mesylate inj,5 MG,420.558,20.0,,,,,,,5.0,MG
J2765,Metoclopramide hcl injection,10 MG,1.083,20.0,,,,,,,10.0,MG
J2777,"Inj, faricimab-svoa, 0.1mg",0.1 MG,32.898,20.0,,,,,,,0.1,MG
J2778,Ranibizumab injection,0.1 mg,65.443,20.0,,,,,,,0.1,MG
J2779,"Inj, susvimo 0.1 mg",0.1 MG,76.223,20.0,,,,,,,0.1,MG
J2781,"Inj, pegcetacoplan, 1mg",1 MG,138.049,20.0,,,,,,,1.0,MG
J2782,Inj avacincaptad pegol 0.1mg,0.1 MG,102.917,20.0,,,,,,,0.1,MG
J2783,Rasburicase,0.5 MG,383.372,20.0,,,,,,,0.5,MG
J2785,Regadenoson injection,0.1 MG,2.679,20.0,,,,,,AMP-based payment limit,1.0,ML
J2786,"Injection, reslizumab, 1mg",1 MG,11.134,20.0,,,,,,,1.0,MG
J2788,Rho d immune globulin 50 mcg,50 MCG (250 IU),22.931,20.0,,,,,,,50.0,MCG
J2790,Rho d immune globulin inj,300 MCG (1500 IU),80.532,20.0,,,,,,,300.0,MCG
J2791,Rhophylac injection,100 IU,4.829,20.0,,,,,,,100.0,IU
J2792,"Rho(d) immune globulin h, sd",100 IU,33.91,20.0,,,,,,,100.0,IU
J2794,"Inj risperdal consta, 0.5 mg",0.5 MG,11.184,20.0,,,,,,,0.5,MG
J2795,Ropivacaine hcl injection,1 MG,0.05,20.0,,,,,,,1.0,MG
J2798,"Inj., perseris, 0.5 mg",0.5 mg,12.139,20.0,,,,,,,0.5,MG
J2799,"Inj, uzedy, 1 mg",1 MG,25.044,20.0,,,,,,,1.0,MG
J2800,Methocarbamol injection,10 ML,4.535,20.0,,,,,,,10.0,ML
J2802,"Inj, romiplostim 1 microgram",1 MCG,11.048,18.399,,,,,,Inflation-adjusted coinsurance,1.0,MCG
J2804,"Inj, rifampin, 1 mg",1 MG,0.153,20.0,,,,,,,1.0,MG
J2805,Sincalide injection,5 MCG,110.129,20.0,,,,,,,5.0,MCG
J2820,Sargramostim injection,50 MCG,61.745,19.806,,,,,,Inflation-adjusted coinsurance,50.0,MCG
J2860,"Injection, siltuximab",10 MG,168.678,17.853,,,,,,Inflation-adjusted coinsurance,10.0,MG
J2865,Inj sulfameth/trim 5 mg/1 mg,5MG-1MG,0.038,20.0,,,,,,,5.0,MG
J2916,Na ferric gluconate complex,12.5 MG,2.214,20.0,,,,,,,12.5,MG
J2919,"Inj, methylpred sod succ 5mg",5 MG,0.264,20.0,,,,,,,5.0,MG
J2997,Alteplase recombinant,1 MG,93.832,20.0,,,,,,,1.0,MG
J3000,Streptomycin injection,1 GM,33.877,20.0,,,,,,,1.0,GM
J3010,Fentanyl citrate injection,0.1 MG,1.188,20.0,,,,,,,0.1,MG
J3032,Inj. eptinezumab-jjmr 1 mg,1 MG,20.502,18.798,,,,,,Inflation-adjusted coinsurance,1.0,MG
J3055,Inj talquetamab-tgvs 0.25 mg,0.25 MG,74.915,18.982,,,,,,Inflation-adjusted coinsurance,0.25,MG
J3060,"Inj, taliglucerase alfa 10 u",10 UNITS,40.943,20.0,,,,,,,1.0,ML
J3090,Inj tedizolid phosphate,1 MG,1.964,19.921,,,,,,Inflation-adjusted coinsurance,1.0,MG
J3095,Telavancin injection,10 MG,7.368,20.0,,,,,,,10.0,MG
J3101,Tenecteplase injection,1 MG,186.972,17.808,,,,,,Inflation-adjusted coinsurance,1.0,MG
J3105,Terbutaline sulfate inj,1 MG,2.473,20.0,,,,,,,1.0,MG
J3111,Inj. romosozumab-aqqg 1 mg,1 MG,12.109,18.982,,,,,,Inflation-adjusted coinsurance,1.0,MG
J3121,Inj testostero enanthate 1mg,1 MG,0.051,20.0,,,,,,,1.0,MG
J3145,Testosterone undecanoate 1mg,1 MG,2.069,18.707,,,,,,Inflation-adjusted coinsurance,1.0,MG
J3230,Chlorpromazine hcl injection,50 MG,23.767,20.0,,,,,,,50.0,MG
J3240,Thyrotropin injection,0.9 MG,2125.636,20.0,,,,,,,0.9,MG
J3241,Inj. teprotumumab-trbw 10 mg,10 MG,369.312,20.0,,,,,,,10.0,MG
J3243,Tigecycline injection,1 MG,0.562,20.0,,,,,,,1.0,MG
J3245,"Inj., tildrakizumab, 1 mg",1 MG,123.785,20.0,,,,,,,1.0,MG
J3246,Tirofiban hcl,0.25 MG,3.45,20.0,,,,,,,0.25,MG
J3247,Inj secukinumab intrav 1mg,1 MG,18.073,20.0,,,,,,,1.0,MG
J3250,Trimethobenzamide hcl inj,200 MG,57.597,20.0,,,,,,,200.0,MG
J3260,Tobramycin sulfate injection,80 MG,2.071,20.0,,,,,,,80.0,MG
J3262,Tocilizumab injection,1 MG,5.609,20.0,,,,,,,1.0,MG
J3263,"Inj, toripalimab-tpzi, 1 mg",1 MG,40.21,20.0,,,,,,,1.0,MG
J3285,Treprostinil injection,1 MG,54.48,20.0,,,,,,,1.0,MG
J3299,Inj xipere 1 mg,1 MG,47.85,20.0,,,,,,,1.0,MG
J3300,Triamcinolone a inj prs-free,1 MG,24.491,3.92,,,,,,Inflation-adjusted coinsurance,1.0,MG
J3301,Triamcinolone acet inj nos,10 MG,0.741,20.0,,,,,,,10.0,MG
J3304,Inj triamcinolone ace xr 1mg,1 MG,18.579,20.0,,,,,,,1.0,MG
J3315,Triptorelin pamoate,3.75 MG,463.195,20.0,,,,,,,3.75,MG
J3316,"Inj., triptorelin xr 3.75 mg",3.75 MG,3764.986,19.97,,,,,,Inflation-adjusted coinsurance,3.75,MG
J3358,"Ustekinumab, iv inject, 1 mg",1 MG,12.49,20.0,,,,,,,1.0,MG
J3360,Diazepam injection,5 MG,6.69,20.0,,,,,,,5.0,MG
J3373,"Inj, vancomycin hcl, 10 mg",10 MG,0.031,20.0,,,,,,,10.0,MG
J3374,"Inj, vancomycin (mylan) 10mg",10 MG,0.103,20.0,,,,,,,10.0,MG
J3375,Inj vancomycin (xellia) 10mg,10 MG,0.134,20.0,,,,,,,10.0,MG
J3376,Inj vancomycin (hikma) 10mg,10 MG,0.019,20.0,,,,,,Added January 2026,10.0,MG
J3379,"Inj, valproate sod, 5 mg",5 MG,0.045,20.0,,,,,,Added January 2026,5.0,MG
J3380,Inj vedolizumab iv 1 mg,1 MG,21.371,20.0,,,,,,,1.0,MG
J3385,Velaglucerase alfa,100 UNITS,386.428,20.0,,,,,,,100.0,UNITS
J3396,Verteporfin injection,0.1 MG,11.556,20.0,,,,,,,0.1,MG
J3401,"Vyjuvek 5x10^9pfu/ml, 0.1 ml",0.1 ML,1014.786,20.0,,,,,,,0.1,ML
J3402,Inj. remestemcel-l-rknd/ td,Per Therapeutic Dose,201669.021,20.0,,,,,,,,NAN
J3403,"Revakinagene, per implant",PER IMPLANT,265000.0,20.0,,,,,,Added January 2026,,NAN
J3410,Hydroxyzine hcl injection,25 MG,13.0,20.0,,,,,,,25.0,MG
J3411,Thiamine hcl 100 mg,100 MG,1.806,20.0,,,,,,,100.0,MG
J3415,Pyridoxine hcl 100 mg,100 MG,15.555,20.0,,,,,,,100.0,MG
J3420,Vitamin b12 injection,1000 MCG,0.638,20.0,,,,,,,1000.0,MCG
J3425,Hydroxocobalamin im 10mcg,10 MCG,0.008,20.0,,,,,,,10.0,MCG
J3430,Vitamin k phytonadione inj,1 MG,2.808,20.0,,,,,,,1.0,MG
J3465,"Injection, voriconazole",10 MG,0.751,20.0,,,,,,,10.0,MG
J3470,Hyaluronidase injection,150 UNITS,31.807,20.0,,,,,,,150.0,UNITS
J3471,"Ovine, up to 999 usp units",1 USP UNIT,0.499,20.0,,,,,,,1.0,ML
J3473,Hyaluronidase recombinant,1 USP UNIT,0.363,20.0,,,,,,,1.0,ML
J3475,Inj magnesium sulfate,500 MG,0.405,20.0,,,,,,,500.0,MG
J3480,Inj potassium chloride,2 MEQ,0.121,20.0,,,,,,,2.0,MEQ
J3485,Zidovudine,10 MG,1.513,20.0,,,,,,,10.0,MG
J3486,Ziprasidone mesylate,10 MG,9.148,20.0,,,,,,,10.0,MG
J3489,Zoledronic acid 1mg,1 MG,5.082,20.0,,,,,,,1.0,MG
J7030,Normal saline solution infus,1000 CC,1.989,20.0,,,,,,,1000.0,CC
J7040,Normal saline solution infus,500 ML,1.286,20.0,,,,,,,500.0,ML
J7042,5% dextrose/normal saline,500 ML,1.31,20.0,,,,,,,500.0,ML
J7050,Normal saline solution infus,250 CC,0.664,20.0,,,,,,,250.0,CC
J7060,5% dextrose/water,500 ML,1.746,20.0,,,,,,,500.0,ML
J7070,D5w infusion,1000 CC,2.936,20.0,,,,,,,1.0,ML
J7120,Ringers lactate infusion,1000 CC,2.384,20.0,,,,,,,1000.0,CC
J7170,"Inj., emicizumab-kxwh 0.5 mg",0.5 MG,56.464,20.0,,,,,1.0,,0.5,MG
J7171,"Inj, adzynma, 10 iu",10 UNITS,35.478,20.0,,,,,,,1.0,ML
J7172,"Inj marstacim-hncq, 0.5 mg",0.5 MG,50.473,20.0,,,,,1.0,,0.5,MG
J7173,"Inj. concizumab-mtci, 0.5 mg",0.5 MG,85.503,20.0,,,,,1.0,,0.5,MG
J7174,Injection fitusiran 0.04 mg,0.04 MG,132.62,20.0,,,,,1.0,Added January 2026,0.04,MG
J7175,"Inj, factor x, (human), 1iu",1 IU,9.921,20.0,,,,,1.0,,1.0,IU
J7177,"Inj., fibryga, 1 mg",1 MG,1.226,20.0,,,,,1.0,,1.0,MG
J7178,Inj human fibrinogen con nos,1 MG,1.525,20.0,,,,,1.0,,1.0,MG
J7179,Vonvendi inj 1 iu vwf:rco,1 IU,1.836,20.0,,,,,1.0,,1.0,ML
J7180,Factor xiii anti-hem factor,1 IU,10.763,20.0,,,,,1.0,,1.0,IU
J7181,Factor xiii recomb a-subunit,1 IU,18.564,20.0,,,,,1.0,,1.0,IU
J7182,Factor viii recomb novoeight,1 IU,1.551,20.0,,,,,1.0,,1.0,IU
J7183,Wilate injection,1 I.U. VWF:RCO,1.324,20.0,,,,,1.0,,1.0,ML
J7185,Xyntha inj,1 IU,1.588,20.0,,,,,1.0,,1.0,IU
J7186,Antihemophilic viii/vwf comp,PER FACTOR VIII IU,1.241,20.0,,,,,1.0,,,NAN
J7187,"Humate-p, inj",1 IU,1.491,20.0,,,,,1.0,,1.0,IU
J7188,Factor viii recomb obizur,1 IU,3.234,20.0,,,,,1.0,,1.0,IU
J7189,Factor viia recomb novoseven,1 MCG,2.622,20.0,,,,,1.0,,1.0,MCG
J7190,Factor viii,1 IU,1.113,20.0,,,,,1.0,,1.0,IU
J7192,Factor viii recombinant nos,1 IU,1.591,20.0,,,,,1.0,,1.0,IU
J7193,Factor ix non-recombinant,1 IU,1.368,20.0,,,,,1.0,,1.0,IU
J7194,Factor ix complex,1 IU,1.703,20.0,,,,,1.0,,1.0,IU
J7195,Factor ix recombinant nos,1 IU,1.834,20.0,,,,,1.0,,1.0,IU
J7197,Antithrombin iii injection,1 IU,4.052,20.0,,,,,,,1.0,IU
J7198,Anti-inhibitor,1 IU,2.437,20.0,,,,,1.0,,1.0,IU
J7200,Factor ix recombinan rixubis,1 IU,1.737,20.0,,,,,1.0,,1.0,IU
J7201,Factor ix alprolix recomb,1 IU,3.6,20.0,,,,,1.0,,1.0,IU
J7202,Factor ix idelvion inj,1 IU,5.315,20.0,,,,,1.0,,1.0,IU
J7203,Factor ix recomb gly rebinyn,1 IU,4.55,20.0,,,,,1.0,,1.0,IU
J7204,Inj recombin esperoct per iu,1 IU,2.238,20.0,,,,,1.0,,1.0,IU
J7205,Factor viii fc fusion recomb,1 IU,2.469,20.0,,,,,1.0,,1.0,IU
J7207,Factor viii pegylated recomb,1 IU,2.162,20.0,,,,,1.0,,1.0,ML
J7208,Inj. jivi 1 iu,1 IU,2.654,19.507,,,,,1.0,Inflation-adjusted coinsurance,1.0,IU
J7209,Factor viii nuwiq recomb 1iu,1 IU,1.133,20.0,,,,,1.0,,1.0,IU
J7210,"Inj, afstyla, 1 i.u.",1 IU,1.577,20.0,,,,,1.0,,1.0,IU
J7211,"Inj, kovaltry, 1 i.u.",1 IU,1.57,20.0,,,,,1.0,,1.0,IU
J7212,Factor viia recomb sevenfact,1 MCG,2.35,20.0,,,,,1.0,,1.0,ML
J7213,"Inj, ixinity, 1 i.u.",1 IU,2.066,18.682,,,,,1.0,Inflation-adjusted coinsurance,1.0,IU
J7214,Altuviiio per factor viii iu,1 IU,4.607,20.0,,,,,1.0,,1.0,IU
J7308,Aminolevulinic acid hcl top,354 MG,389.829,20.0,,,,,,,354.0,MG
J7311,"Inj., retisert, 0.01 mg",0.01 MG,338.938,20.0,,,,,,,1.0,ML
J7312,Dexamethasone intra implant,0.1 MG,204.539,20.0,,,,,,,0.1,MG
J7313,"Inj., iluvien, 0.01 mg",0.01 MG,507.436,20.0,,,,,,,0.01,MG
J7314,"Inj., yutiq, 0.01 mg",0.01 MG,529.889,20.0,,,,,,,0.01,MG
J7318,"Inj, durolane 1 mg",1 MG,6.52,20.0,,,,,,,1.0,MG
J7320,"Genvisc 850, inj, 1mg",1 MG,4.759,20.0,,,,,,,1.0,MG
J7321,Hyalgan supartz visco-3 dose,per dose,72.965,20.0,,,,,,,,NAN
J7322,Hymovis injection 1 mg,1 MG,17.64,20.0,,,,,,,1.0,MG
J7323,Euflexxa inj per dose,per dose,105.464,20.0,,,,,,,,NAN
J7324,Orthovisc inj per dose,PER DOSE,111.258,20.0,,,,,,,,NAN
J7325,Synvisc or synvisc-one,1 MG,7.561,20.0,,,,,,,1.0,MG
J7326,Gel-one,per dose,528.051,20.0,,,,,,,,NAN
J7327,Monovisc inj per dose,PER DOSE,564.77,20.0,,,,,,,,NAN
J7328,Gelsyn-3 injection 0.1 mg,0.1 MG,0.673,20.0,,,,,,,0.1,MG
J7329,"Inj, trivisc 1 mg",1 MG,3.606,20.0,,,,,,,1.0,MG
J7331,"Synojoynt, inj., 1 mg",1 MG,3.115,20.0,,,,,,,1.0,MG
J7332,"Inj., triluron, 1 mg",1 MG,10.119,20.0,,,,,,,1.0,MG
J7336,Capsaicin 8% patch,1 SQ CM,3.423,20.0,,,,,,,1.0,SQ CM
J7340,Carbidopa levodopa ent 100ml,100 ML,243.786,20.0,,,,,,,100.0,ML
J7345,"Aminolevulinic acid, 10% gel",10 MG,1.786,20.0,,,,,,,10.0,MG
J7351,Inj bimatoprost itc imp1mcg,1 MCG,213.891,20.0,,,,,,,1.0,MCG
J7354,"Cantharidin top, applicator",Per 3.2 mg single-use applicator,656.499,20.0,,,,,,,3.2,MG
J7355,Inj travoprost intra impl,1 MCG,196.227,20.0,,,,,,,1.0,MCG
J7356,Inj foscarb/foslevodopa 5 mg,0.25 MG - 5 MG,0.702,20.0,,,,,,,5.0,MG
J7402,Mometasone sinus sinuva,10 MCG,11.345,20.0,,,,,,,10.0,MCG
J7500,Azathioprine oral 50mg,50 MG,0.057,20.0,,,,,,,50.0,MG
J7502,Cyclosporine oral 100 mg,100 MG,1.81,20.0,,,,,,,1.0,ML
J7503,Tacrol envarsus ex rel oral,0.25 MG,1.873,19.372,,,,,,Inflation-adjusted coinsurance,0.25,MG
J7504,Lymphocyte immune globulin,250 MG,5307.93,10.992,,,,,,Inflation-adjusted coinsurance,1.0,ML
J7507,Tacrolimus imme rel oral 1mg,1 MG,0.197,20.0,,,,,,,1.0,MG
J7508,Tacrol astagraf ex rel oral,0.1 MG,0.586,20.0,,,,,,,0.1,MG
J7509,Methylprednisolone oral,4 MG,0.139,20.0,,,,,,,4.0,MG
J7510,Prednisolone oral per 5 mg,5 MG,0.919,20.0,,,,,,,5.0,MG
J7511,Antithymocyte globuln rabbit,25 MG,1009.752,20.0,,,,,,,25.0,MG
J7512,Prednisone ir or dr oral 1mg,1 MG,0.005,20.0,,,,,,,1.0,MG
J7514,Mycophenol (myhibbin) 100 mg,100 MG,2.243,20.0,,,,,,Added January 2026,1.0,ML
J7515,Cyclosporine oral 25 mg,25 MG,0.526,20.0,,,,,,,25.0,MG
J7516,"Inj, cyclosporine 250mg",250 MG,73.681,20.0,,,,,,,250.0,MG
J7517,Mycophenolate mofetil oral,250 MG,0.146,20.0,,,,,,,250.0,MG
J7518,Mycophenolic acid,180 MG,0.318,20.0,,,,,,,180.0,MG
J7519,Inj. mycophenolate mofetil,10 MG,0.366,20.0,,,,,,,10.0,MG
J7520,"Sirolimus, oral",1 MG,0.969,20.0,,,,,,,1.0,MG
J7521,Tacrolim granules oral susp,0.1 MG,1.318,9.745,,,,,,Inflation-adjusted coinsurance,0.1,MG
J7525,Tacrolimus injection,5 MG,262.449,20.0,,,,,,,5.0,MG
J7527,Oral everolimus,0.25 MG,1.176,20.0,,,,,,,1.0,ML
J7528,Mycophen mofetil for susp,100 MG,0.24,20.0,,,,,,Added January 2026,100.0,MG
J7601,Ensifentrine inh 3 mg,3 MG,52.117,19.96,,,,,,Inflation-adjusted coinsurance,3.0,MG
J7605,Arformoterol non-comp unit,15 mcg,0.715,20.0,,,,,,,15.0,MCG
J7606,"Formoterol fumarate, inh",20 MCG,2.196,20.0,,,,,,,20.0,MCG
J7608,Acetylcysteine non-comp unit,1 GM,8.455,20.0,,,,,,,1.0,GM
J7611,Albuterol non-comp con,1 MG,0.262,20.0,,,,,,,1.0,MG
J7612,Levalbuterol non-comp con,0.5 MG,0.384,20.0,,,,,,,0.5,MG
J7613,Albuterol non-comp unit,1 MG,0.073,20.0,,,,,,,1.0,MG
J7614,Levalbuterol non-comp unit,0.5 MG,0.083,20.0,,,,,,,0.5,MG
J7620,Albuterol ipratrop non-comp,2.5 MG/0.5 MG,0.197,20.0,,,,,,,2.5,MG
J7626,Budesonide non-comp unit,0.5 MG,1.049,20.0,,,,,,,0.5,MG
J7631,Cromolyn sodium noncomp unit,10 MG,0.911,20.0,,,,,,,10.0,MG
J7639,Dornase alfa non-comp unit,1 MG,55.158,20.0,,,,,,,1.0,MG
J7644,Ipratropium bromide non-comp,1 MG,0.4,20.0,,,,,,,1.0,MG
J7674,"Methacholine chloride, neb",1 MG,1.898,20.0,,,,,,,1.0,MG
J7677,Revefenacin inh non-com 1mcg,1 MCG,0.2,20.0,,,,,,,1.0,MCG
J7682,Tobramycin non-comp unit,300 MG,12.47,20.0,,,,,,,300.0,MG
J7686,"Treprostinil, non-comp unit",1.74 MG,791.981,20.0,,,,,,,1.74,MG
J8501,Oral aprepitant,5 MG,2.77,20.0,,,,,,,5.0,MG
J8522,"Capecitabine, oral, 50 mg",50 MG,0.038,20.0,,,,,,,50.0,MG
J8530,Cyclophosphamide oral 25 mg,25 MG,1.819,20.0,,,,,,,25.0,MG
J8540,Oral dexamethasone,0.25 MG,0.009,20.0,,,,,,,0.25,MG
J8560,Etoposide oral 50 mg,50 MG,86.79,20.0,,,,,,,50.0,MG
J8610,Methotrexate oral 2.5 mg,2.5 MG,0.151,20.0,,,,,,,2.5,MG
J8611,Oral methotrexate (jylamvo),2.5 MG,18.641,20.0,,,,,,,1.0,ML
J8612,Oral methotrexate (xatmep),2.5 MG,22.433,20.0,,,,,,,2.5,MG
J8655,"Oral netupitant, palonosetro",0.5 MG,380.188,20.0,,,,,,,0.5,MG
J8670,"Rolapitant, oral, 1mg",1 MG,2.003,20.0,,,,,,,1.0,MG
J8700,Temozolomide,5 MG,0.542,20.0,,,,,,,5.0,MG
J8705,Topotecan oral,0.25 mg,125.09,20.0,,,,,,,0.25,MG
J9000,Doxorubicin hcl injection,10 MG,2.783,20.0,,,,,,,10.0,MG
J9011,"Datopotamab deruxtecan, 1 mg",1 MG,51.552,20.0,,,,,,,1.0,MG
J9017,Arsenic trioxide injection,1 MG,7.388,20.0,,,,,,,1.0,MG
J9021,"Inj, aspara, rylaze, 0.1 mg",0.1 MG,56.176,19.35,,,,,,Inflation-adjusted coinsurance,0.1,MG
J9022,"Inj, atezolizumab,10 mg",10 MG,93.91,20.0,,,,,,,10.0,MG
J9023,"Injection, avelumab, 10 mg",10 MG,104.986,20.0,,,,,,,10.0,MG
J9024,Inj atezolizumb 5mg hya-tqjs,5 MG,32.101,19.687,,,,,,Inflation-adjusted coinsurance,1.0,ML
J9025,Azacitidine injection,1 MG,0.463,20.0,,,,,,,1.0,MG
J9026,"Inj, tarlatamab-dlle, 1 mg",1 MG,1566.586,20.0,,,,,,,1.0,MG
J9027,Clofarabine injection,1 MG,14.369,20.0,,,,,,,1.0,MG
J9028,"Inj, nogapendekin pmln, 1mcg",1 MCG,94.728,20.0,,,,,,,1.0,MCG
J9029,"Instill adstiladrin, tx dose",PER THERAPEUTIC DOSE,64274.791,20.0,,,,,,,,NAN
J9030,Bcg live intravesical 1mg,1 MG,3.279,20.0,,,,,,,1.0,MG
J9032,"Injection, belinostat, 10mg",10 MG,53.111,19.638,,,,,,Inflation-adjusted coinsurance,10.0,MG
J9033,"Inj, bendamustine hcl, 1mg",1 MG,2.047,20.0,,,,,,,1.0,MG
J9034,"Inj., bendeka 1 mg",1 MG,12.834,20.0,,,,,,,1.0,MG
J9035,Bevacizumab injection,10 MG,73.632,20.0,,,,,,,1.0,ML
J9036,Inj. belrapzo/bendamustine,1 MG,13.649,20.0,,,,,,AMP-based payment limit,1.0,ML
J9038,Inj axatilimab-csfr 0.1 mg,0.1 MG,55.65,20.0,,,,,,,0.1,MG
J9039,"Injection, blinatumomab",1 MCG,163.683,18.451,,,,,,Inflation-adjusted coinsurance,1.0,MCG
J9040,Bleomycin sulfate injection,15 UNITS,23.018,20.0,,,,,,,15.0,UNITS
J9041,"Injection, bortezomib, 0.1mg",0.1 MG,2.678,20.0,,,,,,,0.1,MG
J9042,Brentuximab vedotin inj,1 MG,268.451,17.405,,,,,,Inflation-adjusted coinsurance,1.0,MG
J9043,Cabazitaxel injection,1 MG,230.796,20.0,,,,,,,1.0,MG
J9045,Carboplatin injection,50 MG,2.929,20.0,,,,,,,50.0,MG
J9047,"Injection, carfilzomib, 1 mg",1 MG,55.607,17.981,,,,,,Inflation-adjusted coinsurance,1.0,MG
J9049,"Inj, bortezomib, hospira",0.1 MG,1.454,20.0,,,,,,,0.1,MG
J9050,Carmustine injection,100 MG,232.623,20.0,,,,,,,100.0,MG
J9054,Inj bortezomib boruzu 0.1 mg,0.1 MG,25.634,20.0,,,,,,,0.1,MG
J9055,Cetuximab injection,10 MG,80.343,20.0,,,,,,,10.0,MG
J9056,"Inj, vivimusta, 1 mg",1 MG,31.993,20.0,,,,,,,1.0,MG
J9060,Cisplatin 10 mg injection,10 MG,2.112,20.0,,,,,,AMP-based payment limit,10.0,MG
J9061,"Inj, amivantamab-vmjw",2 MG,22.555,18.787,,,,,,Inflation-adjusted coinsurance,2.0,MG
J9063,"Inj, elahere, 1 mg",1 MG,71.166,19.969,,,,,,Inflation-adjusted coinsurance,1.0,MG
J9065,Inj cladribine per 1 mg,1 MG,7.419,20.0,,,,,,,1.0,MG
J9071,Inj cyclophosphamd auromedic,5 MG,0.606,20.0,,,,,,,5.0,MG
J9072,Inj cyclophos frindovyx 5 mg,5 MG,8.991,9.037,,,,,,Inflation-adjusted coinsurance,5.0,MG
J9073,Inj cyclophos dr reddys 5 mg,5 MG,0.696,20.0,,,,,,,5.0,MG
J9074,"Inj, cyclophosphamd, sandoz",5 MG,3.841,20.0,,,,,,,5.0,MG
J9075,"Inj, cyclophosphamide, nos",5 MG,0.585,20.0,,,,,,,5.0,MG
J9076,"Inj, cyclophos (baxter) 5mg",5 MG,4.92,20.0,,,,,,,5.0,MG
J9100,Cytarabine hcl 100 mg inj,100 MG,0.835,20.0,,,,,,,100.0,MG
J9118,Inj. calaspargase pegol-mknl,10 UNIT,82.075,20.0,,,,,,,,NAN
J9119,"Inj., cemiplimab-rwlc, 1 mg",1 MG,28.691,20.0,,,,,,,1.0,MG
J9120,Dactinomycin injection,0.5 MG,307.985,20.0,,,,,,,0.5,MG
J9130,Dacarbazine 100 mg inj,100 MG,4.124,20.0,,,,,,,100.0,MG
J9144,"Daratumumab, hyaluronidase",10 MG,55.058,20.0,,,,,,,10.0,MG
J9145,"Injection, daratumumab 10 mg",10 MG,70.788,20.0,,,,,,,10.0,MG
J9150,Daunorubicin injection,10 MG,26.326,20.0,,,,,,,10.0,MG
J9153,"Inj daunorubicin, cytarabine",1 MG/2.27 MG,260.49,19.23,,,,,,Inflation-adjusted coinsurance,2.27,MG
J9155,Degarelix injection,1 MG,4.45,20.0,,,,,,,1.0,MG
J9171,Docetaxel injection,1 MG,0.651,20.0,,,,,,,1.0,MG
J9172,"Docetaxel (docivyx), 1 mg",1 MG,49.757,20.0,,,,,,,1.0,MG
J9173,"Inj., durvalumab, 10 mg",10 MG,86.27,20.0,,,,,,,10.0,MG
J9176,"Injection, elotuzumab, 1mg",1 MG,8.037,20.0,,,,,,,1.0,MG
J9177,Inj enfort vedo-ejfv 0.25mg,0.25 MG,36.718,19.55,,,,,,Inflation-adjusted coinsurance,0.25,MG
J9178,"Inj, epirubicin hcl, 2 mg",2 MG,1.973,20.0,,,,,,,2.0,MG
J9179,Eribulin mesylate injection,0.1 MG,72.608,20.0,,,,,,,0.1,MG
J9181,Etoposide injection,10 MG,1.044,20.0,,,,,,,10.0,MG
J9185,Fludarabine phosphate inj,50 MG,81.409,20.0,,,,,,,50.0,MG
J9190,Fluorouracil injection,500 MG,1.941,20.0,,,,,,,500.0,MG
J9196,Inj gemcitabine hcl (accord),200 MG,5.29,18.56,,,,,,Inflation-adjusted coinsurance,200.0,MG
J9200,Floxuridine injection,500 MG,4254.923,20.0,,,,,,,1.0,ML
J9201,In gemcitabine hcl nos 200mg,200 MG,3.59,20.0,,,,,,,200.0,MG
J9202,Goserelin acetate implant,3.6 MG,777.502,16.889,,,,,,Inflation-adjusted coinsurance,3.6,MG
J9203,Gemtuzumab ozogamicin 0.1 mg,0.1 MG,240.165,20.0,,,,,,,0.1,MG
J9204,"Inj mogamulizumab-kpkc, 1 mg",1 MG,253.467,20.0,,,,,,,1.0,MG
J9205,Inj irinotecan liposome 1 mg,1 MG,65.956,20.0,,,,,,,1.0,MG
J9206,Irinotecan injection,20 MG,1.794,20.0,,,,,,AMP-based payment limit,20.0,MG
J9207,Ixabepilone injection,1 MG,139.976,19.778,,,,,,Inflation-adjusted coinsurance,1.0,MG
J9208,Ifosfamide injection,1 GM,24.843,20.0,,,,,,,1.0,GM
J9209,Mesna injection,200 MG,1.7,20.0,,,,,,,200.0,MG
J9210,"Inj., emapalumab-lzsg, 1 mg",1 MG,384.132,20.0,,,,,,,1.0,ML
J9211,Idarubicin hcl injection,5 MG,40.048,20.0,,,,,,,5.0,MG
J9217,Leuprolide acetate suspnsion,7.5 MG,170.778,20.0,,,,,,,1.0,ML
J9223,"Inj. lurbinectedin, 0.1 mg",0.1 MG,210.784,20.0,,,,,,,0.1,MG
J9226,Supprelin la implant,50 MG,43185.339,20.0,,,,,,,50.0,MG
J9227,Inj. isatuximab-irfc 10 mg,10 MG,84.295,19.836,,,,,,Inflation-adjusted coinsurance,10.0,MG
J9228,Ipilimumab injection,1 MG,186.914,20.0,,,,,,,1.0,MG
J9229,Inj inotuzumab ozogam 0.1 mg,0.1 MG,2816.767,20.0,,,,,,,0.1,MG
J9245,Inj melpha hydroch nos 50 mg,50 MG,86.942,20.0,,,,,,,50.0,MG
J9246,"Inj., evomela, 1 mg",1 MG,18.634,20.0,,,,,,,1.0,MG
J9248,Inj melphalan (hepzato) 1 mg,1 MG,795.0,20.0,,,,,,,1.0,MG
J9256,"Inj, nipocalimab-aahu, 3 mg",3 MG,32.743,20.0,,,,,,Added January 2026,3.0,MG
