HCPCS Code,Short Description,HCPCS Code Dosage,Payment Limit,Co-insurance Percentage,Vaccine AWP%,Vaccine Limit,Blood AWP%,Blood limit,Clotting Factor,Notes,dosage_value,dosage_unit
J1203,"Inj, cipaglucosidase, 5 mg",5 MG,91.203,20.0,,,,,,,5.0,MG
J1205,Chlorothiazide sodium inj,500 MG,58.126,20.0,,,,,,,500.0,MG
J1212,Dimethyl sulfoxide 50% 50 ml,50 ML,749.232,20.0,,,,,,,50.0,ML
J1230,Methadone injection,10 MG,17.7,20.0,,,,,,,10.0,MG
J1240,Dimenhydrinate injection,50 MG,0.916,20.0,,,,,,,50.0,MG
J1245,Dipyridamole injection,10 MG,8.41,20.0,,,,,,,10.0,MG
J1250,Inj dobutamine hcl/250 mg,250 MG,8.024,20.0,,,,,,,250.0,MG
J1265,Dopamine injection,40 MG,0.802,20.0,,,,,,,40.0,MG
J1270,"Injection, doxercalciferol",1 MCG,0.313,20.0,,,,,,,1.0,MCG
J1271,Inj doxycycline hyclate 1 mg,1 MG,0.102,20.0,,,,,,,1.0,MG
J1290,Ecallantide injection,1 MG,579.746,20.0,,,,,,,1.0,MG
J1299,"Inj, eculizumab, 2 mg",2 MG,45.028,20.0,,,,,,,2.0,MG
J1301,"Injection, edaravone, 1 mg",1 MG,17.47,20.0,,,,,,,1.0,MG
J1302,"Inj, sutimlimab-jome, 10 mg",10 MG,19.028,19.974,,,,,,Inflation-adjusted coinsurance,10.0,MG
J1303,"Inj., ravulizumab-cwvz 10 mg",10 MG,224.804,20.0,,,,,,,10.0,MG
J1304,Inj tofersen intrathec 1 mg,1 MG,160.009,19.924,,,,,,Inflation-adjusted coinsurance,1.0,MG
J1305,"Inj, evinacumab-dgnb, 5mg",5 MG,197.166,20.0,,,,,,,5.0,MG
J1306,"Injection, inclisiran, 1 mg",1 MG,12.69,20.0,,,,,,,1.0,ML
J1307,"Inj, crovalimab-akkz, 10 mg",10 MG,551.512,20.0,,,,,,Added January 2026,10.0,MG
J1308,"Inj, famotidine, 0.25 mg",0.25 MG,0.009,20.0,,,,,,,0.25,MG
J1322,"Elosulfase alfa, injection",1 MG,311.94,19.805,,,,,,Inflation-adjusted coinsurance,1.0,MG
J1323,"Inj, elranatamab-bcmm, 1 mg",1 MG,188.52,20.0,,,,,,,1.0,MG
J1325,Epoprostenol injection,0.5 MG,15.654,20.0,,,,,,,0.5,MG
J1326,"Inj, zolbetuximab-clzb, 2 mg",2 MG,33.666,20.0,,,,,,,2.0,MG
J1335,Ertapenem injection,500 MG,9.16,20.0,,,,,,,500.0,MG
J1364,Erythro lactobionate /500 mg,500 MG,20.159,20.0,,,,,,,500.0,MG
J1380,Estradiol valerate 10 mg inj,10 MG,7.446,20.0,,,,,,,10.0,MG
J1410,Inj estrogen conjugate 25 mg,25 MG,391.761,20.0,,,,,,,25.0,MG
J1430,Ethanolamine oleate 100 mg,100 MG,517.078,20.0,,,,,,,100.0,MG
J1434,"Inj, focinvez, 1mg",1 MG,2.63,20.0,,,,,,,1.0,MG
J1437,Inj. fe derisomaltose 10 mg,10 MG,22.829,20.0,,,,,,,10.0,MG
J1439,Inj ferric carboxymaltos 1mg,1 MG,1.115,20.0,,,,,,,1.0,MG
J1440,Fecal microbiota jslm 1 ml,1 ML,64.625,20.0,,,,,,,1.0,ML
J1442,Inj filgrastim excl biosimil,1 MCG,0.997,20.0,,,,,,,1.0,ML
J1447,Inj tbo filgrastim 1 microg,1 MCG,0.249,20.0,,,,,,,1.0,MCG
J1448,"Injection, trilaciclib, 1mg",1 MG,5.422,20.0,,,,,,,1.0,MG
J1449,Inj eflapegrastim-xnst 0.1mg,0.1 MG,23.55,20.0,,,,,,,0.1,MG
J1450,Fluconazole,200 MG,4.48,20.0,,,,,,,200.0,MG
J1453,Fosaprepitant injection,1 MG,0.105,20.0,,,,,,,1.0,MG
J1454,"Inj fosnetupitant, palonoset",0.25 MG,546.932,20.0,,,,,,,0.25,MG
J1455,Foscarnet sodium injection,1000 MG,6.71,20.0,,,,,,,1000.0,MG
J1456,"Inj, fosaprepitant (teva)",1 MG,0.639,12.833,,,,,,Inflation-adjusted coinsurance,1.0,MG
J1458,Galsulfase injection,1 MG,513.86,19.781,,,,,,Inflation-adjusted coinsurance,1.0,MG
J1459,Inj ivig privigen 500 mg,500 MG,50.281,20.0,,,,,,,500.0,MG
J1460,Gamma globulin 1 cc inj,1 CC,49.923,20.0,,,,,,,1.0,CC
J1551,Inj cutaquig 100 mg,100 MG,14.823,20.0,,,,,,,100.0,MG
J1552,"Inj, alyglo, 500 mg",500 MG,123.841,20.0,,,,,,,500.0,MG
J1554,Inj. asceniv,500 MG,490.457,20.0,,,,,,,500.0,MG
J1555,"Inj cuvitru, 100 mg",100 MG,17.262,20.0,,,,,,,100.0,MG
J1556,"Inj, imm glob bivigam, 500mg",500 MG,79.645,20.0,,,,,,,500.0,MG
J1557,Gammaplex injection,500 MG,63.931,20.0,,,,,,,1.0,ML
J1558,"Inj. xembify, 100 mg",100 MG,15.056,20.0,,,,,,,100.0,MG
J1559,Hizentra injection,100 MG,14.543,19.078,,,,,,Inflation-adjusted coinsurance,100.0,MG
J1560,Gamma globulin > 10 cc inj,10 CC,104.52,20.0,,,,,,,1.0,ML
J1561,Gamunex-c/gammaked,500 MG,49.076,20.0,,,,,,,500.0,MG
J1566,"Immune globulin, powder",500 MG,78.892,20.0,,,,,,,500.0,MG
J1568,Octagam injection,500 MG,47.385,20.0,,,,,,,500.0,MG
J1569,Gammagard liquid injection,500 MG,47.288,20.0,,,,,,,500.0,MG
J1570,Ganciclovir sodium injection,500 MG,33.522,20.0,,,,,,,500.0,MG
J1571,Hepagam b im injection,0.5 ML,69.585,20.0,,,,,,,0.5,ML
J1573,"Hepagam b intravenous, inj",0.5 ML,69.585,20.0,,,,,,,0.5,ML
J1575,Hyqvia 100mg immuneglobulin,100 MG,18.325,19.994,,,,,,Inflation-adjusted coinsurance,100.0,MG
J1576,"Inj, panzyga, 500 mg",500 MG,71.223,19.15,,,,,,Inflation-adjusted coinsurance,500.0,MG
J1580,Garamycin gentamicin inj,80 MG,2.166,20.0,,,,,,,80.0,MG
